[2023-12-24 16:12:17] {'type': 'usb', 'action': 'remove', 'timestamp': '2023-12-24 16:12:17.614021', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3', 'node': '/dev/bus/usb/003/006'}
[2023-12-24 16:17:29] {'type': 'usb', 'action': 'bind', 'timestamp': '2023-12-24 16:17:29.785447', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:1a.0/usb1/1-1/1-1.2/1-1.2:1.0', 'node': None}
[2023-12-24 16:17:29] {'type': 'usb', 'action': 'bind', 'timestamp': '2023-12-24 16:17:29.796932', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:1a.0/usb1/1-1/1-1.2/1-1.2:1.1', 'node': None}
[2023-12-24 16:17:29] {'type': 'usb', 'action': 'bind', 'timestamp': '2023-12-24 16:17:29.804934', 'model': 'USB_Keyboard', 'vendor': 'SEM', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:1a.0/usb1/1-1/1-1.2', 'node': '/dev/bus/usb/001/006'}
[2023-12-24 16:17:34] {'type': 'usb', 'action': 'change', 'timestamp': '2023-12-24 16:17:34.848033', 'model': 'USB_OPTICAL_MOUSE', 'vendor': '30fa', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-2', 'node': '/dev/bus/usb/003/007'}
[2023-12-24 16:17:34] {'type': 'usb', 'action': 'add', 'timestamp': '2023-12-24 16:17:34.849402', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-2/3-2:1.0', 'node': None}
[2023-12-24 16:17:34] {'type': 'usb', 'action': 'bind', 'timestamp': '2023-12-24 16:17:34.850718', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-2/3-2:1.0', 'node': None}
[2023-12-24 16:17:34] {'type': 'usb', 'action': 'bind', 'timestamp': '2023-12-24 16:17:34.852058', 'model': 'USB_OPTICAL_MOUSE', 'vendor': '30fa', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-2', 'node': '/dev/bus/usb/003/007'}
[2023-12-24 16:19:29] {'type': 'usb', 'action': 'remove', 'timestamp': '2023-12-24 16:19:29.160112', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-2/3-2:1.0', 'node': None}
[2023-12-24 16:19:29] {'type': 'usb', 'action': 'unbind', 'timestamp': '2023-12-24 16:19:29.464245', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:1a.0/usb1/1-1/1-1.2', 'node': '/dev/bus/usb/001/006'}
[2023-12-24 16:19:29] {'type': 'usb', 'action': 'remove', 'timestamp': '2023-12-24 16:19:29.465971', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:1a.0/usb1/1-1/1-1.2', 'node': '/dev/bus/usb/001/006'}
